locus	cell_type	gene	testable	reason	n_rows	qtl_min_p	n_expression_donors
TNFSF4/18	CD4_ET	PRDX6	True	PASS	2320	3.918018322879544e-30	980
TNFSF4/18	CD4_NC	KLHL20	True	PASS	1899	2.000810204831976e-10	980
TNFSF4/18	CD4_NC	PIGC	True	PASS	1921	1.4095364573622044e-09	980
TNFSF4/18	CD4_NC	PRDX6	True	PASS	2320	2.02315811157521e-155	980
TNFSF4/18	CD8_ET	PIGC	True	PASS	1921	2.732707101166247e-07	980
TNFSF4/18	CD8_ET	PRDX6	True	PASS	2320	5.1649047524321745e-20	980
TNFSF4/18	CD8_NC	PRDX6	True	PASS	2320	4.3729724034129533e-79	980
TNFSF4/18	CD8_S100B	PRDX6	True	PASS	2324	4.089697602641549e-14	959
TNFSF4/18	NK	PIGC	True	PASS	1921	8.074010344896202e-08	980
TNFSF4/18	NK	PRDX6	True	PASS	2320	3.7916583995396777e-06	980
REL	B_IN	REL	True	PASS	3242	1.7203923069527336e-26	975
REL	CD4_NC	C2orf74	True	PASS	2849	1.278243975838406e-10	980
REL	CD4_NC	CCT4	True	PASS	1577	3.3045808600250554e-18	980
REL	CD4_NC	PAPOLG	True	PASS	3161	1.8651827209624687e-05	980
REL	CD4_NC	PEX13	True	PASS	3020	2.560896281072734e-05	980
REL	CD8_ET	C2orf74	True	PASS	2849	3.991723880790782e-06	980
REL	CD8_ET	CCT4	True	PASS	1577	2.138516197647546e-06	980
REL	CD8_ET	PUS10	True	PASS	3115	4.184622857156049e-06	980
TNFSF8/15	CD4_NC	TNFSF8	True	PASS	4561	1.0151537106410016e-15	980
TNFSF8/15	CD8_NC	TNFSF8	True	PASS	4561	5.384187878123527e-09	980
REEP3	CD4_ET	REEP3	True	PASS	3084	4.5962053098839983e-07	980
REEP3	CD4_NC	REEP3	True	PASS	3084	2.310510252123555e-10	980
OVOL1/RELA	B_IN	FAU	True	PASS	1601	9.384729478449591e-07	975
OVOL1/RELA	B_IN	NEAT1	True	PASS	2006	1.2805706882093802e-06	975
OVOL1/RELA	B_IN	RNASEH2C	True	PASS	2299	5.5249393580373475e-06	975
OVOL1/RELA	B_MEM	RNASEH2C	True	PASS	2302	2.298962027605447e-11	970
OVOL1/RELA	CD4_ET	BANF1	True	PASS	2115	5.075276092802826e-07	980
OVOL1/RELA	CD4_ET	CTSW	True	PASS	2233	9.080600284771328e-38	980
OVOL1/RELA	CD4_ET	FAU	True	PASS	1604	8.784314329215916e-14	980
OVOL1/RELA	CD4_ET	LTBP3	True	PASS	2156	2.4908211574993703e-06	980
OVOL1/RELA	CD4_ET	NEAT1	True	PASS	2009	7.336663307530253e-08	980
OVOL1/RELA	CD4_ET	RNASEH2C	True	PASS	2302	1.7371671256625628e-07	980
OVOL1/RELA	CD4_NC	ARL2	True	PASS	1474	1.6511905886579914e-06	980
OVOL1/RELA	CD4_NC	BANF1	True	PASS	2115	1.264453538616246e-33	980
OVOL1/RELA	CD4_NC	CCDC85B	True	PASS	2226	1.4196967023880716e-06	980
OVOL1/RELA	CD4_NC	CCS	True	PASS	1487	1.8700382667873674e-16	980
OVOL1/RELA	CD4_NC	CFL1	True	PASS	2283	3.607538732154728e-10	980
OVOL1/RELA	CD4_NC	CTSF	True	PASS	1534	1.8620120870286017e-34	980
OVOL1/RELA	CD4_NC	CTSW	True	PASS	2233	2.1031678323944836e-152	980
OVOL1/RELA	CD4_NC	DRAP1	True	PASS	2208	2.3263045429144511e-10	980
OVOL1/RELA	CD4_NC	EIF1AD	True	PASS	2125	5.916784914188979e-06	980
OVOL1/RELA	CD4_NC	FAM89B	True	PASS	2210	1.815109113592966e-05	980
OVOL1/RELA	CD4_NC	FAU	True	PASS	1604	2.0201984894428885e-31	980
OVOL1/RELA	CD4_NC	FIBP	True	PASS	2230	9.680114008100696e-07	980
OVOL1/RELA	CD4_NC	LTBP3	True	PASS	2156	9.764632958567662e-08	980
OVOL1/RELA	CD4_NC	MRPL11	True	PASS	1653	3.474462062338269e-05	980
OVOL1/RELA	CD4_NC	PACS1	True	PASS	1944	7.83811774712834e-06	980
OVOL1/RELA	CD4_NC	RNASEH2C	True	PASS	2302	1.8292921713564366e-43	980
OVOL1/RELA	CD4_NC	SIPA1	True	PASS	2258	3.256460152224838e-05	980
OVOL1/RELA	CD4_NC	SLC25A45	True	PASS	1929	1.1575245906283743e-05	980
OVOL1/RELA	CD4_NC	ZDHHC24	True	PASS	1551	4.488887833694847e-11	980
OVOL1/RELA	CD8_ET	BANF1	True	PASS	2115	4.827499715622522e-06	980
OVOL1/RELA	CD8_ET	CAPN1	True	PASS	1701	1.637527055513145e-06	980
OVOL1/RELA	CD8_ET	CTSF	True	PASS	1534	7.383690688114948e-11	980
OVOL1/RELA	CD8_ET	CTSW	True	PASS	2233	7.627390529421472e-167	980
OVOL1/RELA	CD8_ET	EHD1	True	PASS	1298	1.8264393980373357e-05	980
OVOL1/RELA	CD8_ET	FAU	True	PASS	1604	1.340014915305116e-18	980
OVOL1/RELA	CD8_ET	FIBP	True	PASS	2230	2.5104239124087617e-10	980
OVOL1/RELA	CD8_ET	NEAT1	True	PASS	2009	2.262633037543683e-12	980
OVOL1/RELA	CD8_ET	RNASEH2C	True	PASS	2302	8.51091156817397e-15	980
OVOL1/RELA	CD8_ET	SF1	True	PASS	1123	2.7961695682497642e-30	980
OVOL1/RELA	CD8_ET	SIPA1	True	PASS	2258	7.493984138197679e-06	980
OVOL1/RELA	CD8_ET	ZDHHC24	True	PASS	1551	1.0940432752053834e-05	980
OVOL1/RELA	CD8_NC	BANF1	True	PASS	2115	4.659885764688063e-13	980
OVOL1/RELA	CD8_NC	CCS	True	PASS	1487	1.0754183992302529e-07	980
OVOL1/RELA	CD8_NC	CTSF	True	PASS	1534	1.8435896542985842e-08	980
OVOL1/RELA	CD8_NC	CTSW	True	PASS	2233	2.9218943899838227e-153	980
OVOL1/RELA	CD8_NC	FAU	True	PASS	1604	7.793720754232365e-17	980
OVOL1/RELA	CD8_NC	LTBP3	True	PASS	2156	8.798055564991424e-07	980
OVOL1/RELA	CD8_NC	NEAT1	True	PASS	2009	1.8824727333225386e-06	980
OVOL1/RELA	CD8_NC	RNASEH2C	True	PASS	2302	8.879805974982511e-12	980
OVOL1/RELA	CD8_S100B	BANF1	True	PASS	2108	7.32868662428516e-07	959
OVOL1/RELA	CD8_S100B	CTSW	True	PASS	2226	2.1920643832149124e-93	959
OVOL1/RELA	CD8_S100B	FAU	True	PASS	1598	6.194136402219348e-08	959
OVOL1/RELA	DC	CTSW	True	PASS	2227	2.5667764090750963e-09	726
OVOL1/RELA	Mono_C	FIBP	True	PASS	2167	2.563170093542271e-06	851
OVOL1/RELA	Mono_NC	NEAT1	True	PASS	2011	7.720077622214778e-11	690
OVOL1/RELA	Mono_NC	RIN1	True	PASS	1730	1.7309695303774995e-14	690
OVOL1/RELA	NK	BANF1	True	PASS	2115	1.230047169865371e-06	980
OVOL1/RELA	NK	CCS	True	PASS	1487	3.549992347176241e-15	980
