dataset	config	credible_set	component	p12	nsnps	PP_H0	PP_H1	PP_H2	PP_H3	PP_H4	H4_over_H3H4	qtl_component_top	qtl_top_beta	disease_top_beta_A1
asian	PF10_L5	L1	1	1e-06	2231	2.02677111935067e-06	1.25683225098106e-05	0.0735676840186143	0.451455008026248	0.474962712861509	0.512687421832094	10:65379304	0.19599812	-0.1158
asian	PF10_L5	L1	1	1e-05	2231	3.84246458086966e-07	2.38277196787599e-06	0.0139473676844528	0.0855893327882454	0.900460532508877	0.913199792626659	10:65379304	0.19599812	-0.1158
asian	PF10_L5	L1	1	1e-04	2231	4.2205662018923e-08	2.61723865575821e-07	0.00153197999397156	0.00940113923253973	0.989066576843961	0.990584433446199	10:65379304	0.19599812	-0.1158
combined	PF10_L5	L1	1	1e-06	2571	6.71119960129522e-06	2.06279891136249e-05	0.243608725824803	0.748695283149803	0.00766865183667937	0.0101388385695788	10:65379304	0.19599812	-0.0072
combined	PF10_L5	L1	1	1e-05	2571	6.2779115405048e-06	1.92962061341225e-05	0.22788087407325	0.70035806378051	0.0717354880285655	0.0929103576379878	10:65379304	0.19599812	-0.0072
combined	PF10_L5	L1	1	1e-04	2571	3.81492316512762e-06	1.17258013760134e-05	0.138477265852278	0.425589335587445	0.435917857835736	0.505994449220586	10:65379304	0.19599812	-0.0072
european	PF10_L5	L1	1	1e-06	2568	2.34139754437059e-05	4.09327490203977e-06	0.84990002477518	0.148566044902993	0.001506423071481	0.0100379709337306	10:65379304	0.19599812	-0.0049
european	PF10_L5	L1	1	1e-05	2568	2.3100779518582e-05	4.03852140565839e-06	0.838531377654051	0.146578758293453	0.0148627247515724	0.0920626128504237	10:65379304	0.19599812	-0.0049
european	PF10_L5	L1	1	1e-04	2568	2.03752887436111e-05	3.5620460197611e-06	0.739599238481803	0.129285010555886	0.131091813627548	0.503469592728401	10:65379304	0.19599812	-0.0049
asian	PF10_L10	L1	1	1e-06	2231	2.02819372805068e-06	1.25771443273194e-05	0.0735596162823441	0.451404392005428	0.475021386374172	0.51274629599041	10:65379304	0.19599812	-0.1158
