receipt	file	bytes	sha256	pass
R6A3A_Sun2018_small_byte_receipt.tsv	QTD000584.permuted.tsv.gz	130995	18504ebec4f9882a74dd30e8ea7fb7d103e10f9fe2499ba625a178c412576bc1	True
R6A3A_Sun2018_small_byte_receipt.tsv	QTD000584.credible_sets.tsv.gz	1032049	cc324e6fe39cbc699879ae41d529215e347791ad13e69b823b9024fa6ee08644	True
R6A3A_Sun2018_full_byte_receipt.tsv	QTD000584.all.tsv.gz	731621677	46f0ea73118adcfbb45c04ae1685d27d6c6471b08654b0b89e38bcab7f91b2c2	True
R6A3A_Sun2018_full_byte_receipt.tsv	QTD000584.all.tsv.gz.tbi	1304240	f4943818b6130075cdcb515b608d7416932ab1a3761779b6a28d5b73aaa9c273	True
R6A3A_Sun2018_full_byte_receipt.tsv	QTD000584.lbf_variable.txt.gz	459588570	9b852c0b8565901af67d52302b7875de13c849d3be265cec5b04eebaf3acbd5a	True
R6A3A_Sun2018_full_byte_receipt.tsv	hg19ToHg38.over.chain	606773	a073d8914233b5542d29761ab8ec4b3815052b13964919c12a1efb2e311fbf39	True
R6A3A_GSE127136_byte_receipt.tsv	GSE127136_project_IgA_nephropathy_counts.csv.gz	15703242	89c3580ad550ae5df9e736bba97101f0ae02e724201b61d2e1f5fa4247dbce40	True
R6A3A_GSE127136_byte_receipt.tsv	GSE127136_family.soft.gz	265591	8f7a347ea166c6bed6695107f0225d71f47d5dd3efe63d99b646803c0ada7642	True
frozen_upstream_input	IgAN_Combined_metaanalysis.txt	492016732	35b603e9f912ec0ed1a04a9aa6cf76c35b75998161e0d1ccbba4d0ded0d2c140	True
frozen_upstream_input	gencode.v50.annotation.gtf.gz	124527720	83fba3e9b03f0b8c958f3595c6c350adc55f468abf8b0e47b6d5284cfe13a453	True
