marker_label	cells	ZMIZ1_detection_fraction	ZMIZ1_mean_log1pCPM	ZMIZ1_median_log1pCPM
Intercalated	144	0.5208333333333334	2.416816368114176	2.3839518223061456
Monocyte	150	0.5133333333333333	2.4114772282038817	2.567938039630339
Neutrophil	24	0.5	2.2930923838544546	1.0083769290887141
Podocyte	61	0.4262295081967213	2.0568140368416565	0.0
TAL	263	0.4600760456273764	2.053603678820086	0.0
Unresolved	65	0.38461538461538464	1.8440868470321823	0.0
VCAM1_PT	114	0.40350877192982454	1.8093549232093595	0.0
Principal	91	0.4065934065934066	1.7445234498247078	0.0
Proximal_tubule	1566	0.35887611749680715	1.5759526117423814	0.0
Macrophage	84	0.34523809523809523	1.5672345506575203	0.0
Endothelial	14	0.35714285714285715	1.4228920160124758	0.0
Mesangial	47	0.2978723404255319	1.246134295715819	0.0
T_cell	162	0.25925925925925924	1.1172606027797467	0.0
