member	uncompressed_bytes	compressed_bytes	crc32
GJOKA_SUMSTATS/covmat_1.ld	2347582	787572	92303eb2
GJOKA_SUMSTATS/covmat_10.ld	44609585	15670805	5089e64f
GJOKA_SUMSTATS/covmat_11.ld	41571971	14323575	54567046
GJOKA_SUMSTATS/covmat_12.ld	128119420	44138043	3f080058
GJOKA_SUMSTATS/covmat_13.ld	90490681	31792879	ba94107f
GJOKA_SUMSTATS/covmat_14.ld	137493074	48357186	5dc0bfca
GJOKA_SUMSTATS/covmat_15.ld	45751535	15745203	f4b19740
GJOKA_SUMSTATS/covmat_16.ld	35945336	11255325	8d73fb4e
GJOKA_SUMSTATS/covmat_17.ld	82611946	27609553	80ce796d
GJOKA_SUMSTATS/covmat_18.ld	110300518	38418100	fca4eae1
GJOKA_SUMSTATS/covmat_19.ld	85987030	26634904	25202489
GJOKA_SUMSTATS/covmat_2.ld	57496850	20197634	7ce3830d
GJOKA_SUMSTATS/covmat_20.ld	67187874	22975100	4a1e9b7c
GJOKA_SUMSTATS/covmat_21.ld	59474556	20991037	0a72ef5a
GJOKA_SUMSTATS/covmat_22.ld	105183105	37301512	09007e60
GJOKA_SUMSTATS/covmat_23.ld	64748020	22600400	0362605d
GJOKA_SUMSTATS/covmat_24.ld	63061086	21095917	32e67900
GJOKA_SUMSTATS/covmat_25.ld	106506922	37292047	a07b05ad
GJOKA_SUMSTATS/covmat_26.ld	108645603	38766306	56d30504
GJOKA_SUMSTATS/covmat_27.ld	69923368	24174853	bf545693
GJOKA_SUMSTATS/covmat_28.ld	29888199	10227904	49ccbb2f
GJOKA_SUMSTATS/covmat_29.ld	101186681	35768224	c1b3d22a
GJOKA_SUMSTATS/covmat_3.ld	34517636	12103824	5d4ea773
GJOKA_SUMSTATS/covmat_30.ld	65670737	23051822	9bf5b0f3
GJOKA_SUMSTATS/covmat_31.ld	98701895	34596883	d039832b
GJOKA_SUMSTATS/covmat_32.ld	110220827	39090670	6987dd13
GJOKA_SUMSTATS/covmat_33.ld	22786463	7765933	72365104
GJOKA_SUMSTATS/covmat_34.ld	28845734	9951802	a9000dcb
GJOKA_SUMSTATS/covmat_35.ld	50253428	16130751	82ec35ef
GJOKA_SUMSTATS/covmat_36.ld	24723732	8479287	4fb40108
GJOKA_SUMSTATS/covmat_37.ld	71262229	24972130	3e8fedb9
GJOKA_SUMSTATS/covmat_38.ld	22539817	7969663	626ba24a
GJOKA_SUMSTATS/covmat_39.ld	18593770	6164018	5974bdb7
GJOKA_SUMSTATS/covmat_4.ld	72084475	24735373	7c348555
GJOKA_SUMSTATS/covmat_40.ld	131788508	46420271	c2cf3f2a
GJOKA_SUMSTATS/covmat_41.ld	135112018	47903819	7b3342dd
GJOKA_SUMSTATS/covmat_42.ld	108442021	38232046	fe7a34b1
GJOKA_SUMSTATS/covmat_43.ld	69659656	23912169	4c125c2a
GJOKA_SUMSTATS/covmat_44.ld	88925328	30788223	4de2fb3a
GJOKA_SUMSTATS/covmat_45.ld	49632350	16538583	a5429045
GJOKA_SUMSTATS/covmat_46.ld	52282845	18472837	67176591
GJOKA_SUMSTATS/covmat_47.ld	25592727	9080588	c9dd9877
GJOKA_SUMSTATS/covmat_48.ld	21054160	6847714	bc703b2e
GJOKA_SUMSTATS/covmat_49.ld	52011926	18779958	e8f505f7
GJOKA_SUMSTATS/covmat_5.ld	33673838	11617430	97cfbac3
GJOKA_SUMSTATS/covmat_50.ld	21235846	6295859	fbe5cd59
GJOKA_SUMSTATS/covmat_51.ld	61234387	8254683	7efc376f
GJOKA_SUMSTATS/covmat_52.ld	62901919	21894411	6d82da95
GJOKA_SUMSTATS/covmat_53.ld	20574211	7193371	5f8f652e
GJOKA_SUMSTATS/covmat_54.ld	15411070	5507784	4907c885
GJOKA_SUMSTATS/covmat_55.ld	22556116	7730268	54457bdb
GJOKA_SUMSTATS/covmat_56.ld	13826408	4762746	df4db046
GJOKA_SUMSTATS/covmat_6.ld	87905001	30546304	a80cb7d2
GJOKA_SUMSTATS/covmat_7.ld	8395231	2956975	99e36c8b
GJOKA_SUMSTATS/covmat_8.ld	49494863	16750227	81211d41
GJOKA_SUMSTATS/covmat_9.ld	51366301	18125788	327dd06e
GJOKA_SUMSTATS/sumstats_1.assoc.logistic	56066	16019	59489bcd
GJOKA_SUMSTATS/sumstats_10.assoc.logistic	246213	70762	56afd83e
GJOKA_SUMSTATS/sumstats_11.assoc.logistic	233053	67073	cb10ac47
GJOKA_SUMSTATS/sumstats_12.assoc.logistic	413830	114253	23b64792
GJOKA_SUMSTATS/sumstats_13.assoc.logistic	342104	98810	0519dd8a
GJOKA_SUMSTATS/sumstats_14.assoc.logistic	422687	121021	c5c3bfab
GJOKA_SUMSTATS/sumstats_15.assoc.logistic	241862	71067	7040a1f0
GJOKA_SUMSTATS/sumstats_16.assoc.logistic	218509	59348	c0505f47
GJOKA_SUMSTATS/sumstats_17.assoc.logistic	329933	92065	6a5bfb6c
GJOKA_SUMSTATS/sumstats_18.assoc.logistic	376849	107046	761003ae
GJOKA_SUMSTATS/sumstats_19.assoc.logistic	339591	89604	fe49958c
GJOKA_SUMSTATS/sumstats_2.assoc.logistic	274517	79875	531d1656
GJOKA_SUMSTATS/sumstats_20.assoc.logistic	292242	83658	1697539b
GJOKA_SUMSTATS/sumstats_21.assoc.logistic	278338	80926	5053444c
GJOKA_SUMSTATS/sumstats_22.assoc.logistic	370864	105972	b9879d06
GJOKA_SUMSTATS/sumstats_23.assoc.logistic	288656	83681	3c56a93b
GJOKA_SUMSTATS/sumstats_24.assoc.logistic	284908	79497	3c9f7618
GJOKA_SUMSTATS/sumstats_25.assoc.logistic	371557	105528	29378c8f
GJOKA_SUMSTATS/sumstats_26.assoc.logistic	377416	107287	0996c7a5
GJOKA_SUMSTATS/sumstats_27.assoc.logistic	303783	87946	049da17a
GJOKA_SUMSTATS/sumstats_28.assoc.logistic	199558	57027	039a3ea5
GJOKA_SUMSTATS/sumstats_29.assoc.logistic	358886	104160	d3f1f3a2
GJOKA_SUMSTATS/sumstats_3.assoc.logistic	209375	60067	8d5c6b86
GJOKA_SUMSTATS/sumstats_30.assoc.logistic	294993	84211	ddbc9487
GJOKA_SUMSTATS/sumstats_31.assoc.logistic	356779	102025	35ac6989
GJOKA_SUMSTATS/sumstats_32.assoc.logistic	377921	107566	a5745e92
GJOKA_SUMSTATS/sumstats_33.assoc.logistic	173138	49519	acdae644
GJOKA_SUMSTATS/sumstats_34.assoc.logistic	194532	56330	dd1c7883
GJOKA_SUMSTATS/sumstats_35.assoc.logistic	256971	70319	5c7df248
GJOKA_SUMSTATS/sumstats_36.assoc.logistic	181241	52071	0f44bd7f
GJOKA_SUMSTATS/sumstats_37.assoc.logistic	301970	88390	dd8c1037
GJOKA_SUMSTATS/sumstats_38.assoc.logistic	173456	49549	6d5941c9
GJOKA_SUMSTATS/sumstats_39.assoc.logistic	161411	44748	f0a7d06d
GJOKA_SUMSTATS/sumstats_4.assoc.logistic	308142	87661	e1867e60
GJOKA_SUMSTATS/sumstats_40.assoc.logistic	416839	117326	9bc6e7ae
GJOKA_SUMSTATS/sumstats_41.assoc.logistic	418800	120246	ab09a40f
GJOKA_SUMSTATS/sumstats_42.assoc.logistic	377858	108716	47af3028
GJOKA_SUMSTATS/sumstats_43.assoc.logistic	300006	85435	990a0b2b
GJOKA_SUMSTATS/sumstats_44.assoc.logistic	337047	97332	67004b23
GJOKA_SUMSTATS/sumstats_45.assoc.logistic	254197	72606	37dccbbd
GJOKA_SUMSTATS/sumstats_46.assoc.logistic	258032	75548	385148ee
GJOKA_SUMSTATS/sumstats_47.assoc.logistic	182152	53009	eae188c7
GJOKA_SUMSTATS/sumstats_48.assoc.logistic	168224	47266	e1de16e3
GJOKA_SUMSTATS/sumstats_49.assoc.logistic	259240	75972	5811a319
GJOKA_SUMSTATS/sumstats_5.assoc.logistic	212529	60490	774bde97
GJOKA_SUMSTATS/sumstats_50.assoc.logistic	169893	45841	f35ef21f
GJOKA_SUMSTATS/sumstats_51.assoc.logistic	317901	60725	9ae0c84c
GJOKA_SUMSTATS/sumstats_52.assoc.logistic	287905	82056	acd448a3
GJOKA_SUMSTATS/sumstats_53.assoc.logistic	163659	48405	0ca102c5
GJOKA_SUMSTATS/sumstats_54.assoc.logistic	142295	41829	eb607156
GJOKA_SUMSTATS/sumstats_55.assoc.logistic	170863	49304	efa53436
GJOKA_SUMSTATS/sumstats_56.assoc.logistic	136343	38022	1f1d2ba5
GJOKA_SUMSTATS/sumstats_6.assoc.logistic	337005	96996	4738a1c0
GJOKA_SUMSTATS/sumstats_7.assoc.logistic	104290	30396	1f625b7b
GJOKA_SUMSTATS/sumstats_8.assoc.logistic	251168	72298	81a7af72
GJOKA_SUMSTATS/sumstats_9.assoc.logistic	262188	75217	b6349822
