gene	cell_type	config	disease_converged	qtl_converged	disease_CS	qtl_CS	common_variants
IL12RB2	NK	PF10_L5	TRUE	TRUE	2	1	1016
IL12RB2	NK	PF10_L10	TRUE	TRUE	2	1	1016
IL12RB2	NK	PF10_L20	TRUE	TRUE	2	1	1016
IL12RB2	NK	PF50_L10	TRUE	TRUE	2	1	1016
FCRL3	B_IN	PF10_L5	TRUE	TRUE	1	1	873
FCRL3	B_IN	PF10_L10	TRUE	TRUE	1	1	873
FCRL3	B_IN	PF10_L20	TRUE	TRUE	1	1	873
FCRL3	B_IN	PF50_L10	TRUE	TRUE	1	1	873
FCRL3	B_MEM	PF10_L5	TRUE	TRUE	1	1	874
FCRL3	B_MEM	PF10_L10	TRUE	TRUE	1	1	874
FCRL3	B_MEM	PF10_L20	TRUE	TRUE	1	1	874
FCRL3	B_MEM	PF50_L10	TRUE	TRUE	1	1	874
FCRL3	CD4_NC	PF10_L5	TRUE	TRUE	1	1	873
FCRL3	CD4_NC	PF10_L10	TRUE	TRUE	1	1	873
FCRL3	CD4_NC	PF10_L20	TRUE	TRUE	1	1	873
FCRL3	CD4_NC	PF50_L10	TRUE	TRUE	1	1	873
FCRL3	CD8_ET	PF10_L5	TRUE	TRUE	1	2	873
FCRL3	CD8_ET	PF10_L10	TRUE	TRUE	1	2	873
FCRL3	CD8_ET	PF10_L20	TRUE	TRUE	1	2	873
FCRL3	CD8_ET	PF50_L10	TRUE	TRUE	1	2	873
FCRL3	NK	PF10_L5	TRUE	TRUE	1	2	873
FCRL3	NK	PF10_L10	TRUE	TRUE	1	2	873
FCRL3	NK	PF10_L20	TRUE	TRUE	1	2	873
FCRL3	NK	PF50_L10	TRUE	TRUE	1	2	873
FCRL3	NK_R	PF10_L5	TRUE	TRUE	1	1	867
FCRL3	NK_R	PF10_L10	TRUE	TRUE	1	1	867
FCRL3	NK_R	PF10_L20	TRUE	TRUE	1	1	867
FCRL3	NK_R	PF50_L10	TRUE	TRUE	1	1	867
