sheet	context	row_1based	term	excerpt
Supplementary Data 2	human	266	NK	0 | 0.85234272127278 | 0.998 | 0.624 | 0 | CD8+ CTL | NKG7
Supplementary Data 2	human	369	CD16- NK	0 | 1.77645741552376 | 0.935 | 0.295 | 0 | CD16- NK | IL2RB
Supplementary Data 2	human	369	NK	0 | 1.77645741552376 | 0.935 | 0.295 | 0 | CD16- NK | IL2RB
Supplementary Data 2	human	370	CD16- NK	0 | 1.70116268724866 | 0.927 | 0.271 | 0 | CD16- NK | CD160
Supplementary Data 2	human	370	NK	0 | 1.70116268724866 | 0.927 | 0.271 | 0 | CD16- NK | CD160
Supplementary Data 2	human	371	CD16- NK	0 | 1.69523794372843 | 0.984 | 0.458 | 0 | CD16- NK | CD7
Supplementary Data 2	human	371	NK	0 | 1.69523794372843 | 0.984 | 0.458 | 0 | CD16- NK | CD7
Supplementary Data 2	human	372	CD16- NK	0 | 1.50870226165223 | 0.871 | 0.389 | 0 | CD16- NK | CCL3
Supplementary Data 2	human	372	NK	0 | 1.50870226165223 | 0.871 | 0.389 | 0 | CD16- NK | CCL3
Supplementary Data 2	human	373	CD16- NK	0 | 1.45922657884279 | 0.907 | 0.202 | 0 | CD16- NK | KLRF1
Supplementary Data 2	human	373	NK	0 | 1.45922657884279 | 0.907 | 0.202 | 0 | CD16- NK | KLRF1
Supplementary Data 2	human	374	CD16- NK	0 | 1.41382308431162 | 0.769 | 0.192 | 0 | CD16- NK | XCL1
Supplementary Data 2	human	374	NK	0 | 1.41382308431162 | 0.769 | 0.192 | 0 | CD16- NK | XCL1
Supplementary Data 2	human	375	CD16- NK	0 | 1.34565203372622 | 0.918 | 0.278 | 0 | CD16- NK | FCER1G
Supplementary Data 2	human	375	NK	0 | 1.34565203372622 | 0.918 | 0.278 | 0 | CD16- NK | FCER1G
Supplementary Data 2	human	376	CD16- NK	0 | 1.3259621197868 | 0.949 | 0.41 | 0 | CD16- NK | XCL2
Supplementary Data 2	human	376	NK	0 | 1.3259621197868 | 0.949 | 0.41 | 0 | CD16- NK | XCL2
Supplementary Data 2	human	377	CD16- NK	0 | 1.27936237015029 | 0.925 | 0.193 | 0 | CD16- NK | TRDC
Supplementary Data 2	human	377	NK	0 | 1.27936237015029 | 0.925 | 0.193 | 0 | CD16- NK | TRDC
Supplementary Data 2	human	378	CD16- NK	0 | 1.25783731616951 | 0.959 | 0.509 | 0 | CD16- NK | CMC1
Supplementary Data 2	human	378	NK	0 | 1.25783731616951 | 0.959 | 0.509 | 0 | CD16- NK | CMC1
Supplementary Data 2	human	379	CD16- NK	0 | 1.12720123398672 | 0.974 | 0.731 | 0 | CD16- NK | GSTP1
Supplementary Data 2	human	379	NK	0 | 1.12720123398672 | 0.974 | 0.731 | 0 | CD16- NK | GSTP1
Supplementary Data 2	human	380	CD16- NK	0 | 1.10999137803209 | 0.481 | 0.065 | 0 | CD16- NK | KLRC1
Supplementary Data 2	human	380	NK	0 | 1.10999137803209 | 0.481 | 0.065 | 0 | CD16- NK | KLRC1
Supplementary Data 2	human	381	CD16- NK	0 | 1.10575009656004 | 0.988 | 0.434 | 0 | CD16- NK | KLRD1
Supplementary Data 2	human	381	NK	0 | 1.10575009656004 | 0.988 | 0.434 | 0 | CD16- NK | KLRD1
Supplementary Data 2	human	382	CD16- NK	0 | 1.0724791953881 | 0.976 | 0.559 | 0 | CD16- NK | CD247
Supplementary Data 2	human	382	NK	0 | 1.0724791953881 | 0.976 | 0.559 | 0 | CD16- NK | CD247
Supplementary Data 2	human	383	CD16- NK	0 | 1.06185532135268 | 0.735 | 0.199 | 0 | CD16- NK | CLIC3
Supplementary Data 2	human	383	NK	0 | 1.06185532135268 | 0.735 | 0.199 | 0 | CD16- NK | CLIC3
Supplementary Data 2	human	384	CD16- NK	0 | 1.05879702858364 | 0.979 | 0.382 | 0 | CD16- NK | TYROBP
Supplementary Data 2	human	384	NK	0 | 1.05879702858364 | 0.979 | 0.382 | 0 | CD16- NK | TYROBP
Supplementary Data 2	human	385	CD16- NK	0 | 1.05742193832833 | 0.977 | 0.765 | 0 | CD16- NK | IFITM2
Supplementary Data 2	human	385	NK	0 | 1.05742193832833 | 0.977 | 0.765 | 0 | CD16- NK | IFITM2
Supplementary Data 2	human	386	CD16- NK	0 | 1.04109890389745 | 0.534 | 0.066 | 0 | CD16- NK | SPRY2
Supplementary Data 2	human	386	NK	0 | 1.04109890389745 | 0.534 | 0.066 | 0 | CD16- NK | SPRY2
Supplementary Data 2	human	387	CD16- NK	0 | 1.00190800126152 | 0.608 | 0.098 | 0 | CD16- NK | TXK
Supplementary Data 2	human	387	NK	0 | 1.00190800126152 | 0.608 | 0.098 | 0 | CD16- NK | TXK
Supplementary Data 2	human	388	CD16- NK	0 | 0.998910730529371 | 0.334 | 0.098 | 0 | CD16- NK | AREG
Supplementary Data 2	human	388	NK	0 | 0.998910730529371 | 0.334 | 0.098 | 0 | CD16- NK | AREG
Supplementary Data 2	human	389	CD16- NK	0 | 0.980077494744969 | 0.62 | 0.168 | 0 | CD16- NK | LAT2
Supplementary Data 2	human	389	NK	0 | 0.980077494744969 | 0.62 | 0.168 | 0 | CD16- NK | LAT2
Supplementary Data 2	human	390	CD16- NK	0 | 0.882890122384638 | 0.796 | 0.342 | 0 | CD16- NK | MATK
Supplementary Data 2	human	390	NK	0 | 0.882890122384638 | 0.796 | 0.342 | 0 | CD16- NK | MATK
Supplementary Data 2	human	391	CD16- NK	0 | 0.867455983027304 | 0.675 | 0.22 | 0 | CD16- NK | PTGDR
Supplementary Data 2	human	391	NK	0 | 0.867455983027304 | 0.675 | 0.22 | 0 | CD16- NK | PTGDR
Supplementary Data 2	human	392	CD16- NK	0 | 0.864374995916939 | 0.479 | 0.061 | 0 | CD16- NK | TMIGD2
Supplementary Data 2	human	392	NK	0 | 0.864374995916939 | 0.479 | 0.061 | 0 | CD16- NK | TMIGD2
Supplementary Data 2	human	393	CD16- NK	0 | 0.849697978299202 | 0.678 | 0.242 | 0 | CD16- NK | EOMES
Supplementary Data 2	human	393	NK	0 | 0.849697978299202 | 0.678 | 0.242 | 0 | CD16- NK | EOMES
Supplementary Data 2	human	394	CD16- NK	0 | 0.848053405842468 | 0.752 | 0.298 | 0 | CD16- NK | CEBPD
Supplementary Data 2	human	394	NK	0 | 0.848053405842468 | 0.752 | 0.298 | 0 | CD16- NK | CEBPD
Supplementary Data 2	human	395	CD16- NK	0 | 0.847775781335734 | 0.98 | 0.5 | 0 | CD16- NK | KLRB1
Supplementary Data 2	human	395	NK	0 | 0.847775781335734 | 0.98 | 0.5 | 0 | CD16- NK | KLRB1
Supplementary Data 2	human	396	CD16- NK	0 | 0.844104168165263 | 0.502 | 0.106 | 0 | CD16- NK | CD38
Supplementary Data 2	human	396	NK	0 | 0.844104168165263 | 0.502 | 0.106 | 0 | CD16- NK | CD38
Supplementary Data 2	human	397	CD16- NK	0 | 0.802718309547118 | 0.922 | 0.614 | 0 | CD16- NK | STK17A
Supplementary Data 2	human	397	NK	0 | 0.802718309547118 | 0.922 | 0.614 | 0 | CD16- NK | STK17A
Supplementary Data 2	human	398	CD16- NK	0 | 0.786916832310937 | 0.977 | 0.761 | 0 | CD16- NK | CD63
Supplementary Data 2	human	398	NK	0 | 0.786916832310937 | 0.977 | 0.761 | 0 | CD16- NK | CD63
Supplementary Data 2	human	399	CD16- NK	0 | 0.779656343341749 | 0.829 | 0.484 | 0 | CD16- NK | IFITM1
Supplementary Data 2	human	399	NK	0 | 0.779656343341749 | 0.829 | 0.484 | 0 | CD16- NK | IFITM1
Supplementary Data 2	human	400	CD16- NK	0 | 0.777121861117384 | 0.997 | 0.63 | 0 | CD16- NK | NKG7
Supplementary Data 2	human	400	NK	0 | 0.777121861117384 | 0.997 | 0.63 | 0 | CD16- NK | NKG7
Supplementary Data 2	human	401	CD16- NK	0 | 0.774874066808257 | 0.874 | 0.572 | 0 | CD16- NK | ARPC5L
Supplementary Data 2	human	401	NK	0 | 0.774874066808257 | 0.874 | 0.572 | 0 | CD16- NK | ARPC5L
Supplementary Data 2	human	402	CD16- NK	0 | 0.768870671231618 | 0.413 | 0.067 | 0 | CD16- NK | TOX2
Supplementary Data 2	human	402	NK	0 | 0.768870671231618 | 0.413 | 0.067 | 0 | CD16- NK | TOX2
Supplementary Data 2	human	403	CD16- NK	0 | 0.747103719548253 | 0.933 | 0.637 | 0 | CD16- NK | GZMM
Supplementary Data 2	human	403	NK	0 | 0.747103719548253 | 0.933 | 0.637 | 0 | CD16- NK | GZMM
Supplementary Data 2	human	404	CD16- NK	0 | 0.742097250141505 | 0.81 | 0.45 | 0 | CD16- NK | APMAP
Supplementary Data 2	human	404	NK	0 | 0.742097250141505 | 0.81 | 0.45 | 0 | CD16- NK | APMAP
Supplementary Data 2	human	405	CD16- NK	0 | 0.726892348968229 | 0.549 | 0.183 | 0 | CD16- NK | FASLG
Supplementary Data 2	human	405	NK	0 | 0.726892348968229 | 0.549 | 0.183 | 0 | CD16- NK | FASLG
Supplementary Data 2	human	406	CD16- NK	0 | 0.724623936038975 | 0.882 | 0.722 | 0 | CD16- NK | EIF3G
Supplementary Data 2	human	406	NK	0 | 0.724623936038975 | 0.882 | 0.722 | 0 | CD16- NK | EIF3G
Supplementary Data 2	human	407	CD16- NK	0 | 0.720885013159659 | 0.507 | 0.143 | 0 | CD16- NK | CXXC5
Supplementary Data 2	human	407	NK	0 | 0.720885013159659 | 0.507 | 0.143 | 0 | CD16- NK | CXXC5
Supplementary Data 2	human	408	CD16- NK	0 | 0.719192813163557 | 0.647 | 0.266 | 0 | CD16- NK | MYBL1
Supplementary Data 2	human	408	NK	0 | 0.719192813163557 | 0.647 | 0.266 | 0 | CD16- NK | MYBL1
Supplementary Data 2	human	409	CD16- NK	0 | 0.70033957472195 | 0.998 | 0.934 | 0 | CD16- NK | SRGN
Supplementary Data 2	human	409	NK	0 | 0.70033957472195 | 0.998 | 0.934 | 0 | CD16- NK | SRGN
Supplementary Data 2	human	410	CD16- NK	0 | 0.691082537602719 | 0.411 | 0.061 | 0 | CD16- NK | NCR1
Supplementary Data 2	human	410	NK	0 | 0.691082537602719 | 0.411 | 0.061 | 0 | CD16- NK | NCR1
Supplementary Data 2	human	411	CD16- NK	0 | 0.682679628751929 | 0.752 | 0.414 | 0 | CD16- NK | CHST12
Supplementary Data 2	human	411	NK	0 | 0.682679628751929 | 0.752 | 0.414 | 0 | CD16- NK | CHST12
Supplementary Data 2	human	412	CD16- NK	0 | 0.678139951231666 | 0.609 | 0.294 | 0 | CD16- NK | RAB11FIP1
Supplementary Data 2	human	412	NK	0 | 0.678139951231666 | 0.609 | 0.294 | 0 | CD16- NK | RAB11FIP1
Supplementary Data 2	human	413	CD16- NK	0 | 0.674426122956491 | 0.524 | 0.217 | 0 | CD16- NK | CLDND1
Supplementary Data 2	human	413	NK	0 | 0.674426122956491 | 0.524 | 0.217 | 0 | CD16- NK | CLDND1
Supplementary Data 2	human	414	CD16- NK	0 | 0.672451268492656 | 0.398 | 0.059 | 0 | CD16- NK | NCAM1
Supplementary Data 2	human	414	NK	0 | 0.672451268492656 | 0.398 | 0.059 | 0 | CD16- NK | NCAM1
Supplementary Data 2	human	415	CD16- NK	0 | 0.66819749659789 | 0.402 | 0.052 | 0 | CD16- NK | SH2D1B
Supplementary Data 2	human	415	NK	0 | 0.66819749659789 | 0.402 | 0.052 | 0 | CD16- NK | SH2D1B
Supplementary Data 2	human	416	CD16- NK	0 | 0.659772143102736 | 0.379 | 0.075 | 0 | CD16- NK | SLFN13
Supplementary Data 2	human	416	NK	0 | 0.659772143102736 | 0.379 | 0.075 | 0 | CD16- NK | SLFN13
Supplementary Data 2	human	417	CD16- NK	0 | 0.655558580312489 | 0.427 | 0.097 | 0 | CD16- NK | CAPN12
Supplementary Data 2	human	417	NK	0 | 0.655558580312489 | 0.427 | 0.097 | 0 | CD16- NK | CAPN12
Supplementary Data 2	human	418	CD16- NK	0 | 0.651645573828727 | 0.677 | 0.355 | 0 | CD16- NK | DENND2D
Supplementary Data 2	human	418	NK	0 | 0.651645573828727 | 0.677 | 0.355 | 0 | CD16- NK | DENND2D
Supplementary Data 2	human	419	CD16- NK	0 | 0.647869327913458 | 0.59 | 0.234 | 0 | CD16- NK | CXCR6
Supplementary Data 2	human	419	NK	0 | 0.647869327913458 | 0.59 | 0.234 | 0 | CD16- NK | CXCR6
Supplementary Data 2	human	420	CD16- NK	0 | 0.635130870336531 | 0.878 | 0.584 | 0 | CD16- NK | ALOX5AP
Supplementary Data 2	human	420	NK	0 | 0.635130870336531 | 0.878 | 0.584 | 0 | CD16- NK | ALOX5AP
Supplementary Data 2	human	421	CD16- NK	0 | 0.633696273758802 | 0.349 | 0.047 | 0 | CD16- NK | SPRY1
Supplementary Data 2	human	421	NK	0 | 0.633696273758802 | 0.349 | 0.047 | 0 | CD16- NK | SPRY1
Supplementary Data 2	human	422	CD16- NK	0 | 0.626573347558826 | 0.352 | 0.057 | 0 | CD16- NK | P2RY11
Supplementary Data 2	human	422	NK	0 | 0.626573347558826 | 0.352 | 0.057 | 0 | CD16- NK | P2RY11
Supplementary Data 2	human	423	CD16- NK	0 | 0.624850850828858 | 0.721 | 0.418 | 0 | CD16- NK | RHOC
Supplementary Data 2	human	423	NK	0 | 0.624850850828858 | 0.721 | 0.418 | 0 | CD16- NK | RHOC
Supplementary Data 2	human	424	CD16- NK	0 | 0.623632709184978 | 0.575 | 0.26 | 0 | CD16- NK | TNFSF14
Supplementary Data 2	human	424	NK	0 | 0.623632709184978 | 0.575 | 0.26 | 0 | CD16- NK | TNFSF14
Supplementary Data 2	human	425	CD16- NK	0 | 0.61808781298865 | 0.648 | 0.287 | 0 | CD16- NK | TIGIT
Supplementary Data 2	human	425	NK	0 | 0.61808781298865 | 0.648 | 0.287 | 0 | CD16- NK | TIGIT
Supplementary Data 2	human	426	CD16- NK	0 | 0.617452352839163 | 0.603 | 0.314 | 0 | CD16- NK | ARHGAP9
Supplementary Data 2	human	426	NK	0 | 0.617452352839163 | 0.603 | 0.314 | 0 | CD16- NK | ARHGAP9
Supplementary Data 2	human	427	CD16- NK	0 | 0.61644168325804 | 0.609 | 0.318 | 0 | CD16- NK | AOAH
Supplementary Data 2	human	427	NK	0 | 0.61644168325804 | 0.609 | 0.318 | 0 | CD16- NK | AOAH
Supplementary Data 2	human	428	CD16- NK	0 | 0.606757872089952 | 0.54 | 0.318 | 0 | CD16- NK | SOCS1
Supplementary Data 2	human	428	NK	0 | 0.606757872089952 | 0.54 | 0.318 | 0 | CD16- NK | SOCS1
Supplementary Data 2	human	429	CD16- NK	0 | 0.592488552642159 | 0.41 | 0.117 | 0 | CD16- NK | MCTP2
Supplementary Data 2	human	429	NK	0 | 0.592488552642159 | 0.41 | 0.117 | 0 | CD16- NK | MCTP2
Supplementary Data 2	human	430	CD16- NK	0 | 0.592078299501019 | 0.962 | 0.816 | 0 | CD16- NK | CD81
Supplementary Data 2	human	430	NK	0 | 0.592078299501019 | 0.962 | 0.816 | 0 | CD16- NK | CD81
Supplementary Data 2	human	431	CD16- NK	0 | 0.590052865613833 | 0.516 | 0.174 | 0 | CD16- NK | IRF8
Supplementary Data 2	human	431	NK	0 | 0.590052865613833 | 0.516 | 0.174 | 0 | CD16- NK | IRF8
Supplementary Data 2	human	432	CD16- NK	0 | 0.584041002030875 | 0.576 | 0.33 | 0 | CD16- NK | HELZ
Supplementary Data 2	human	432	NK	0 | 0.584041002030875 | 0.576 | 0.33 | 0 | CD16- NK | HELZ
Supplementary Data 2	human	433	CD16- NK	0 | 0.576781029590001 | 0.84 | 0.497 | 0 | CD16- NK | CTSW
Supplementary Data 2	human	433	NK	0 | 0.576781029590001 | 0.84 | 0.497 | 0 | CD16- NK | CTSW
Supplementary Data 2	human	434	CD16- NK	0 | 0.572573836522164 | 0.718 | 0.477 | 0 | CD16- NK | PIK3R1
Supplementary Data 2	human	434	NK	0 | 0.572573836522164 | 0.718 | 0.477 | 0 | CD16- NK | PIK3R1
Supplementary Data 2	human	435	CD16- NK	0 | 0.562291165818558 | 0.368 | 0.084 | 0 | CD16- NK | ABCB1
Supplementary Data 2	human	435	NK	0 | 0.562291165818558 | 0.368 | 0.084 | 0 | CD16- NK | ABCB1
Supplementary Data 2	human	436	CD16- NK	0 | 0.555755256528055 | 0.955 | 0.709 | 0 | CD16- NK | CCL4
Supplementary Data 2	human	436	NK	0 | 0.555755256528055 | 0.955 | 0.709 | 0 | CD16- NK | CCL4
Supplementary Data 2	human	437	CD16- NK	0 | 0.547882795723601 | 0.346 | 0.078 | 0 | CD16- NK | ZBTB16
Supplementary Data 2	human	437	NK	0 | 0.547882795723601 | 0.346 | 0.078 | 0 | CD16- NK | ZBTB16
Supplementary Data 2	human	438	CD16- NK	0 | 0.539343341487726 | 0.314 | 0.057 | 0 | CD16- NK | TLE1
Supplementary Data 2	human	438	NK	0 | 0.539343341487726 | 0.314 | 0.057 | 0 | CD16- NK | TLE1
Supplementary Data 2	human	439	CD16- NK	0 | 0.53607856094222 | 0.394 | 0.135 | 0 | CD16- NK | DHRS3
Supplementary Data 2	human	439	NK	0 | 0.53607856094222 | 0.394 | 0.135 | 0 | CD16- NK | DHRS3
Supplementary Data 2	human	440	CD16- NK	0 | 0.533507035464104 | 0.373 | 0.109 | 0 | CD16- NK | GFOD1
Supplementary Data 2	human	440	NK	0 | 0.533507035464104 | 0.373 | 0.109 | 0 | CD16- NK | GFOD1
Supplementary Data 2	human	441	CD16- NK	0 | 0.527936739698743 | 0.577 | 0.366 | 0 | CD16- NK | YWHAH
Supplementary Data 2	human	441	NK	0 | 0.527936739698743 | 0.577 | 0.366 | 0 | CD16- NK | YWHAH
Supplementary Data 2	human	442	CD16- NK	0 | 0.524123175350141 | 0.858 | 0.658 | 0 | CD16- NK | BST2
Supplementary Data 2	human	442	NK	0 | 0.524123175350141 | 0.858 | 0.658 | 0 | CD16- NK | BST2
Supplementary Data 2	human	443	CD16- NK	0 | 0.522004935746905 | 0.598 | 0.315 | 0 | CD16- NK | PLEKHF1
Supplementary Data 2	human	443	NK	0 | 0.522004935746905 | 0.598 | 0.315 | 0 | CD16- NK | PLEKHF1
Supplementary Data 2	human	444	CD16- NK	0 | 0.518120526037804 | 0.823 | 0.615 | 0 | CD16- NK | FYN
Supplementary Data 2	human	444	NK	0 | 0.518120526037804 | 0.823 | 0.615 | 0 | CD16- NK | FYN
Supplementary Data 2	human	445	CD16- NK	0 | 0.516774189009159 | 0.395 | 0.153 | 0 | CD16- NK | SESN1
Supplementary Data 2	human	445	NK	0 | 0.516774189009159 | 0.395 | 0.153 | 0 | CD16- NK | SESN1
Supplementary Data 2	human	446	CD16- NK	0 | 0.515998529710649 | 0.959 | 0.674 | 0 | CD16- NK | GZMA
Supplementary Data 2	human	446	NK	0 | 0.515998529710649 | 0.959 | 0.674 | 0 | CD16- NK | GZMA
Supplementary Data 2	human	447	CD16- NK	0 | 0.511311685646993 | 0.243 | 0.022 | 0 | CD16- NK | B3GNT7
Supplementary Data 2	human	447	NK	0 | 0.511311685646993 | 0.243 | 0.022 | 0 | CD16- NK | B3GNT7
Supplementary Data 2	human	448	CD16- NK	0 | 0.510753781836422 | 0.702 | 0.427 | 0 | CD16- NK | IKZF3
Supplementary Data 2	human	448	NK	0 | 0.510753781836422 | 0.702 | 0.427 | 0 | CD16- NK | IKZF3
Supplementary Data 2	human	449	CD16- NK	0 | 0.508792822761896 | 0.43 | 0.211 | 0 | CD16- NK | STARD3NL
Supplementary Data 2	human	449	NK	0 | 0.508792822761896 | 0.43 | 0.211 | 0 | CD16- NK | STARD3NL
Supplementary Data 2	human	450	CD16- NK	0 | 0.507167152721146 | 0.593 | 0.297 | 0 | CD16- NK | SH2D1A
Supplementary Data 2	human	450	NK	0 | 0.507167152721146 | 0.593 | 0.297 | 0 | CD16- NK | SH2D1A
Supplementary Data 2	human	451	CD16- NK	0 | 0.50714360426267 | 0.231 | 0.015 | 0 | CD16- NK | BCO2
Supplementary Data 2	human	451	NK	0 | 0.50714360426267 | 0.231 | 0.015 | 0 | CD16- NK | BCO2
Supplementary Data 2	human	452	CD16- NK	0 | 0.504334666209111 | 0.449 | 0.222 | 0 | CD16- NK | PTPN12
Supplementary Data 2	human	452	NK	0 | 0.504334666209111 | 0.449 | 0.222 | 0 | CD16- NK | PTPN12
Supplementary Data 2	human	453	CD16- NK	0 | 0.502679837799322 | 0.655 | 0.406 | 0 | CD16- NK | OFD1
Supplementary Data 2	human	453	NK	0 | 0.502679837799322 | 0.655 | 0.406 | 0 | CD16- NK | OFD1
Supplementary Data 2	human	454	CD16- NK	0 | 0.496820174393185 | 0.564 | 0.278 | 0 | CD16- NK | FGR
Supplementary Data 2	human	454	NK	0 | 0.496820174393185 | 0.564 | 0.278 | 0 | CD16- NK | FGR
Supplementary Data 2	human	455	CD16- NK	0 | 0.493983693677669 | 0.59 | 0.399 | 0 | CD16- NK | MAPK1
Supplementary Data 2	human	455	NK	0 | 0.493983693677669 | 0.59 | 0.399 | 0 | CD16- NK | MAPK1
Supplementary Data 2	human	456	CD16- NK	0 | 0.485586435886526 | 0.3 | 0.061 | 0 | CD16- NK | NMUR1
Supplementary Data 2	human	456	NK	0 | 0.485586435886526 | 0.3 | 0.061 | 0 | CD16- NK | NMUR1
Supplementary Data 2	human	457	CD16- NK	0 | 0.483491040881335 | 0.444 | 0.2 | 0 | CD16- NK | PILRB
Supplementary Data 2	human	457	NK	0 | 0.483491040881335 | 0.444 | 0.2 | 0 | CD16- NK | PILRB
Supplementary Data 2	human	458	CD16- NK	0 | 0.472066552905834 | 0.755 | 0.428 | 0 | CD16- NK | PLAC8
Supplementary Data 2	human	458	NK	0 | 0.472066552905834 | 0.755 | 0.428 | 0 | CD16- NK | PLAC8
Supplementary Data 2	human	459	CD16- NK	0 | 0.454492113122534 | 0.316 | 0.105 | 0 | CD16- NK | FHL3
Supplementary Data 2	human	459	NK	0 | 0.454492113122534 | 0.316 | 0.105 | 0 | CD16- NK | FHL3
Supplementary Data 2	human	460	CD16- NK	0 | 0.452355745651411 | 0.799 | 0.626 | 0 | CD16- NK | FAM49B
Supplementary Data 2	human	460	NK	0 | 0.452355745651411 | 0.799 | 0.626 | 0 | CD16- NK | FAM49B
Supplementary Data 2	human	461	CD16- NK	0 | 0.450941560026083 | 0.474 | 0.275 | 0 | CD16- NK | GYG1
Supplementary Data 2	human	461	NK	0 | 0.450941560026083 | 0.474 | 0.275 | 0 | CD16- NK | GYG1
Supplementary Data 2	human	462	CD16- NK	0 | 0.445703214846464 | 0.325 | 0.122 | 0 | CD16- NK | PLCG2
Supplementary Data 2	human	462	NK	0 | 0.445703214846464 | 0.325 | 0.122 | 0 | CD16- NK | PLCG2
Supplementary Data 2	human	463	CD16- NK	0 | 0.442258122919893 | 0.909 | 0.825 | 0 | CD16- NK | 2024-09-07 00:00:00
