locus	gene	cell_type	config	ld_mode	L	n	variants	ridge_delta	converged	niter	credible_sets_95	active_components	max_PIP_variant	max_PIP	disease_lead_variant	disease_lead_PIP	shared_top_variant	shared_top_PIP	marginal_QTL_top	marginal_QTL_top_PIP	warning_count
OVOL1/RELA	SIPA1	CD8_ET	PF10_L5	PF10	5	980	2258	1e-04	TRUE	6	0	5	11:65473798	0.148259497397298	11:65555524	0.00166319449707553	11:65559266	0.00681160934688019	11:65473798	0.148259497397298	0
OVOL1/RELA	SIPA1	CD8_ET	PF10_L10	PF10	10	980	2258	1e-04	TRUE	28	0	10	11:65473798	0.0338223543594496	11:65555524	0.00378313203207004	11:65559266	0.0134731881942816	11:65473798	0.0338223543594496	0
OVOL1/RELA	SIPA1	CD8_ET	PF10_L20	PF10	20	980	2258	1e-04	TRUE	37	0	20	11:65473798	0.0325865554973633	11:65555524	0.00834287544911827	11:65559266	0.0187405408731477	11:65473798	0.0325865554973633	0
OVOL1/RELA	SIPA1	CD8_ET	PF50_L10	PF50	10	980	2258	1e-04	TRUE	25	0	10	11:65473798	0.0340744270120134	11:65555524	0.0037781077451533	11:65559266	0.0137464553866192	11:65473798	0.0340744270120134	0
TNFSF12/13	EIF4A1	CD4_NC	PF10_L5	PF10	5	980	3519	1e-04	TRUE	2	0	1	17:7452078	0.116185706063193	17:7462969	0.000657719320694139	17:7462969	0.000657719320694139	17:7452078	0.116185706063193	0
TNFSF12/13	EIF4A1	CD4_NC	PF10_L10	PF10	10	980	3519	1e-04	TRUE	2	0	1	17:7452078	0.116185706063193	17:7462969	0.000657719320694139	17:7462969	0.000657719320694139	17:7452078	0.116185706063193	0
TNFSF12/13	EIF4A1	CD4_NC	PF10_L20	PF10	20	980	3519	1e-04	TRUE	2	0	1	17:7452078	0.116185706063193	17:7462969	0.000657719320694139	17:7462969	0.000657719320694139	17:7452078	0.116185706063193	0
TNFSF12/13	EIF4A1	CD4_NC	PF50_L10	PF50	10	980	3519	1e-04	TRUE	2	0	1	17:7452078	0.116185706063193	17:7462969	0.000657719320694139	17:7462969	0.000657719320694139	17:7452078	0.116185706063193	0
TNFSF12/13	SAT2	B_IN	PF10_L5	PF10	5	975	3428	1e-04	TRUE	2	0	1	17:7482779	0.324906525540454	17:7462969	0.000200659866532837	17:7462969	0.000200659866532837	17:7482779	0.324906525540454	0
TNFSF12/13	SAT2	B_IN	PF10_L10	PF10	10	975	3428	1e-04	TRUE	2	0	1	17:7482779	0.324906525540454	17:7462969	0.000200659866532837	17:7462969	0.000200659866532837	17:7482779	0.324906525540454	0
TNFSF12/13	SAT2	B_IN	PF10_L20	PF10	20	975	3428	1e-04	TRUE	2	0	1	17:7482779	0.324906525540454	17:7462969	0.000200659866532837	17:7462969	0.000200659866532837	17:7482779	0.324906525540454	0
TNFSF12/13	SAT2	B_IN	PF50_L10	PF50	10	975	3428	1e-04	TRUE	2	0	1	17:7482779	0.324906525540454	17:7462969	0.000200659866532837	17:7462969	0.000200659866532837	17:7482779	0.324906525540454	0
