nsnps	hit1	hit2	PP.H0.abf	PP.H1.abf	PP.H2.abf	PP.H3.abf	PP.H4.abf	idx1	idx2	gene	cell_type	gjoka_locus_index	config	p12	H4_over_H3H4
1016	1:67820194	1:67825399	1.32743540364435e-76	1.59296359328139e-07	2.43231863467872e-71	0.019382402490732	0.980617438212901	1	1	IL12RB2	NK	2	PF10_L5	1e-06	0.980617594421721
1016	1:67839573	1:67825399	3.0524595080095e-08	5.42682698853954e-06	0.00559315664065483	0.99438132447914	2.00615286217467e-05	2	1	IL12RB2	NK	2	PF10_L5	1e-06	2.01744777350804e-05
1016	1:67820194	1:67825399	1.35100270775623e-77	1.6212450880637e-08	2.47550204895492e-72	0.00197265178975261	0.998027331997802	1	1	IL12RB2	NK	2	PF10_L5	1e-05	0.998027348178266
1016	1:67839573	1:67825399	3.0519084744666e-08	5.42584733141572e-06	0.00559214695750863	0.994201817605164	0.000200579070912519	2	1	IL12RB2	NK	2	PF10_L5	1e-05	0.000201708153141003
1016	1:67820194	1:67825399	1.3534055455886e-78	1.62412856787523e-09	2.47990487505081e-73	0.000197616026706601	0.99980238234916	1	1	IL12RB2	NK	2	PF10_L5	1e-04	0.999802383972972
1016	1:67839573	1:67825399	3.04640906137425e-08	5.41607017849611e-06	0.00558207013952743	0.992410306969139	0.00200217635706366	2	1	IL12RB2	NK	2	PF10_L5	1e-04	0.00201342641070494
1016	1:67820194	1:67825399	4.69116438616861e-77	1.5908822536047e-07	8.59582810846605e-72	0.01934387995532	0.980655960956467	1	1	IL12RB2	NK	2	PF10_L10	1e-06	0.980656116967296
1016	1:67839573	1:67825399	3.13880241388636e-08	5.42595952995958e-06	0.00575136656812853	0.994222368746578	2.08073377372725e-05	2	1	IL12RB2	NK	2	PF10_L10	1e-06	2.09278154859651e-05
1016	1:67820194	1:67825399	4.77428290967731e-78	1.61906966575033e-08	8.74812985743414e-73	0.00196866167704178	0.998031322132253	1	1	IL12RB2	NK	2	PF10_L10	1e-05	0.998031338291084
1016	1:67839573	1:67825399	3.13821473284183e-08	5.42494362225221e-06	0.00575028973414328	0.994036219520497	0.00020803441959086	2	1	IL12RB2	NK	2	PF10_L10	1e-05	0.000209238744671082
