config	component	prior_variance	top_variant	top_alpha	is_credible_component
PF10_L5	1	0.0387211487445527	10:65379304	0.0760853015627366	TRUE
PF10_L5	2	0.000126423791368031	10:64847375	0.000507188808063234	FALSE
PF10_L5	3	0.000139147278405995	10:64847375	0.000527465005361873	FALSE
PF10_L5	4	0.000140826957425662	10:64847375	0.000530164605329409	FALSE
PF10_L5	5	0.000130394165991773	10:64847375	0.000513481976128383	FALSE
PF10_L10	1	0.0387198997106998	10:65379304	0.0760922962736684	TRUE
PF10_L10	2	4.20867536784943e-05	10:64847375	0.000381120760182469	FALSE
PF10_L10	3	5.81452885232929e-05	10:64847375	0.000403919506565295	FALSE
PF10_L10	4	7.58407583428574e-05	10:64847375	0.000429713036845333	FALSE
PF10_L10	5	8.72613498582599e-05	10:64847375	0.000446722248109942	FALSE
PF10_L10	6	8.99298060274634e-05	10:64847375	0.000450736602171343	FALSE
PF10_L10	7	8.51985529954701e-05	10:64847375	0.00044362932251969	FALSE
PF10_L10	8	7.57981771334425e-05	10:64847375	0.000429649531759986	FALSE
PF10_L10	9	6.42941418598e-05	10:64847375	0.000412802442525616	FALSE
PF10_L10	10	5.25386245768223e-05	10:64847375	0.000395891016059858	FALSE
PF10_L20	1	0.0387206516521073	10:65379304	0.0760972937846674	TRUE
PF10_L20	2	5.75250463399145e-06	10:64847375	0.000331771453789446	FALSE
PF10_L20	3	1.24145478822341e-05	10:64847375	0.000340579470225771	FALSE
PF10_L20	4	2.42010279579877e-05	10:64847375	0.00035642773743368	FALSE
PF10_L20	5	3.85745347437455e-05	10:64847375	0.000376204449541229	FALSE
PF10_L20	6	5.21478455961369e-05	10:64847375	0.000395323283521125	FALSE
PF10_L20	7	6.21964916348318e-05	10:64847375	0.000409748135944897	FALSE
PF10_L20	8	6.74254359036996e-05	10:64847375	0.000417343727141855	FALSE
PF10_L20	9	6.79090018038692e-05	10:64847375	0.000418049238526758	FALSE
PF10_L20	10	6.45783045241426e-05	10:64847375	0.000413200427791558	FALSE
PF10_L20	11	5.8673941930401e-05	10:64847375	0.000404665463507584	FALSE
PF10_L20	12	5.13755186308298e-05	10:64847375	0.000394223670463701	FALSE
PF10_L20	13	4.36276622415727e-05	10:64847375	0.000383271812205741	FALSE
PF10_L20	14	3.60973349673053e-05	10:64847375	0.000372760571219792	FALSE
PF10_L20	15	2.92019060885064e-05	10:64847375	0.000363252274289831	FALSE
PF10_L20	16	2.31592677731653e-05	10:64847375	0.000355012794887939	FALSE
PF10_L20	17	1.80439384426485e-05	10:64847375	0.000348106287749483	FALSE
PF10_L20	18	1.38351488120109e-05	10:64847375	0.000342471290860426	FALSE
PF10_L20	19	1.04544594069973e-05	10:64847375	0.000337976310161048	FALSE
PF10_L20	20	7.79509972665966e-06	10:64847375	0.000334460120204322	FALSE
PF50_L10	1	0.0387189107727539	10:65379304	0.076056943684944	TRUE
PF50_L10	2	4.54803008299811e-05	10:64847375	0.000386697513834042	FALSE
PF50_L10	3	6.63787117001154e-05	10:64847375	0.000417079615869948	FALSE
PF50_L10	4	8.74974482684499e-05	10:64847375	0.000448804625471986	FALSE
PF50_L10	5	9.95810624473328e-05	10:64847375	0.00046740266951245	FALSE
PF50_L10	6	0.000100711189263723	10:64847375	0.000469158341391211	FALSE
PF50_L10	7	9.34310752533926e-05	10:64847375	0.000457897088433682	FALSE
PF50_L10	8	8.14025102545735e-05	10:64847375	0.000439544403247537	FALSE
PF50_L10	9	6.7668792864161e-05	10:64847375	0.000418986268498674	FALSE
PF50_L10	10	5.42318247199836e-05	10:64847375	0.00039929250330161	FALSE
