locus_index	chromosomes	min_bp_grch37	max_bp_grch37	variant_rows	sumstats_member	sumstats_crc32	ld_member	ld_uncompressed_bytes	ld_crc32
1	1	2018875	3095917	478	GJOKA_SUMSTATS/sumstats_1.assoc.logistic	59489bcd	GJOKA_SUMSTATS/covmat_1.ld	2347582	92303eb2
2	1	67225491	68419832	2324	GJOKA_SUMSTATS/sumstats_2.assoc.logistic	531d1656	GJOKA_SUMSTATS/covmat_2.ld	57496850	7ce3830d
3	1	116465088	117665034	1788	GJOKA_SUMSTATS/sumstats_3.assoc.logistic	8d5c6b86	GJOKA_SUMSTATS/covmat_3.ld	34517636	5d4ea773
4	1	157070320	158270183	2587	GJOKA_SUMSTATS/sumstats_4.assoc.logistic	e1867e60	GJOKA_SUMSTATS/covmat_4.ld	72084475	7c348555
5	1	197181988	198380716	1784	GJOKA_SUMSTATS/sumstats_5.assoc.logistic	774bde97	GJOKA_SUMSTATS/covmat_5.ld	33673838	97cfbac3
6	1	200420013	201616835	2853	GJOKA_SUMSTATS/sumstats_6.assoc.logistic	4738a1c0	GJOKA_SUMSTATS/covmat_6.ld	87905001	a80cb7d2
7	2	7843019	9041226	875	GJOKA_SUMSTATS/sumstats_7.assoc.logistic	1f625b7b	GJOKA_SUMSTATS/covmat_7.ld	8395231	99e36c8b
8	2	24915342	26113432	2145	GJOKA_SUMSTATS/sumstats_8.assoc.logistic	81a7af72	GJOKA_SUMSTATS/covmat_8.ld	49494863	81211d41
9	2	134741737	135940980	2201	GJOKA_SUMSTATS/sumstats_9.assoc.logistic	b6349822	GJOKA_SUMSTATS/covmat_9.ld	51366301	327dd06e
10	2	190944312	192143425	2067	GJOKA_SUMSTATS/sumstats_10.assoc.logistic	56afd83e	GJOKA_SUMSTATS/covmat_10.ld	44609585	5089e64f
11	2	204060889	205260409	1973	GJOKA_SUMSTATS/sumstats_11.assoc.logistic	cb10ac47	GJOKA_SUMSTATS/covmat_11.ld	41571971	54567046
12	3	16361450	17560915	3474	GJOKA_SUMSTATS/sumstats_12.assoc.logistic	23b64792	GJOKA_SUMSTATS/covmat_12.ld	128119420	3f080058
13	3	24783589	25983371	2897	GJOKA_SUMSTATS/sumstats_13.assoc.logistic	0519dd8a	GJOKA_SUMSTATS/covmat_13.ld	90490681	ba94107f
14	3	118620286	119819895	3578	GJOKA_SUMSTATS/sumstats_14.assoc.logistic	c5c3bfab	GJOKA_SUMSTATS/covmat_14.ld	137493074	5dc0bfca
15	3	159133822	160332749	2065	GJOKA_SUMSTATS/sumstats_15.assoc.logistic	7040a1f0	GJOKA_SUMSTATS/covmat_15.ld	45751535	f4b19740
16	4	102941365	104140129	1834	GJOKA_SUMSTATS/sumstats_16.assoc.logistic	c0505f47	GJOKA_SUMSTATS/covmat_16.ld	35945336	8d73fb4e
17	4	105530041	106727328	2770	GJOKA_SUMSTATS/sumstats_17.assoc.logistic	6a5bfb6c	GJOKA_SUMSTATS/covmat_17.ld	82611946	80ce796d
18	5	35281334	36481080	3218	GJOKA_SUMSTATS/sumstats_18.assoc.logistic	761003ae	GJOKA_SUMSTATS/covmat_18.ld	110300518	fca4eae1
19	5	99602677	100801895	2876	GJOKA_SUMSTATS/sumstats_19.assoc.logistic	fe49958c	GJOKA_SUMSTATS/covmat_19.ld	85987030	25202489
20	5	140909971	142109350	2474	GJOKA_SUMSTATS/sumstats_20.assoc.logistic	1697539b	GJOKA_SUMSTATS/covmat_20.ld	67187874	4a1e9b7c
21	5	158160714	159359646	2356	GJOKA_SUMSTATS/sumstats_21.assoc.logistic	5053444c	GJOKA_SUMSTATS/covmat_21.ld	59474556	0a72ef5a
22	6	105963884	107163605	3113	GJOKA_SUMSTATS/sumstats_22.assoc.logistic	b9879d06	GJOKA_SUMSTATS/covmat_22.ld	105183105	09007e60
23	6	137373495	138572442	2444	GJOKA_SUMSTATS/sumstats_23.assoc.logistic	3c56a93b	GJOKA_SUMSTATS/covmat_23.ld	64748020	0362605d
24	6	166932966	167869486	2432	GJOKA_SUMSTATS/sumstats_24.assoc.logistic	3c9f7618	GJOKA_SUMSTATS/covmat_24.ld	63061086	32e67900
25	7	19778888	20978638	3146	GJOKA_SUMSTATS/sumstats_25.assoc.logistic	29378c8f	GJOKA_SUMSTATS/covmat_25.ld	106506922	a07b05ad
26	7	36785640	37981573	3169	GJOKA_SUMSTATS/sumstats_26.assoc.logistic	0996c7a5	GJOKA_SUMSTATS/covmat_26.ld	108645603	56d30504
27	7	128022877	129217283	2550	GJOKA_SUMSTATS/sumstats_27.assoc.logistic	049da17a	GJOKA_SUMSTATS/covmat_27.ld	69923368	bf545693
28	7	138136474	139319758	1675	GJOKA_SUMSTATS/sumstats_28.assoc.logistic	039a3ea5	GJOKA_SUMSTATS/covmat_28.ld	29888199	49ccbb2f
29	8	128675862	129864362	3065	GJOKA_SUMSTATS/sumstats_29.assoc.logistic	d3f1f3a2	GJOKA_SUMSTATS/covmat_29.ld	101186681	c1b3d22a
30	9	100141993	101341893	2477	GJOKA_SUMSTATS/sumstats_30.assoc.logistic	ddbc9487	GJOKA_SUMSTATS/covmat_30.ld	65670737	9bf5b0f3
31	9	116969583	118168631	3021	GJOKA_SUMSTATS/sumstats_31.assoc.logistic	35ac6989	GJOKA_SUMSTATS/covmat_31.ld	98701895	d039832b
32	10	49425472	50623951	3199	GJOKA_SUMSTATS/sumstats_32.assoc.logistic	a5745e92	GJOKA_SUMSTATS/covmat_32.ld	110220827	6987dd13
33	11	201922	1245157	1453	GJOKA_SUMSTATS/sumstats_33.assoc.logistic	acdae644	GJOKA_SUMSTATS/covmat_33.ld	22786463	72365104
34	11	63513730	64709808	1646	GJOKA_SUMSTATS/sumstats_34.assoc.logistic	dd1c7883	GJOKA_SUMSTATS/covmat_34.ld	28845734	a9000dcb
35	11	110639396	111836105	2174	GJOKA_SUMSTATS/sumstats_35.assoc.logistic	5c7df248	GJOKA_SUMSTATS/covmat_35.ld	50253428	82ec35ef
36	11	118140136	119339987	1534	GJOKA_SUMSTATS/sumstats_36.assoc.logistic	0f44bd7f	GJOKA_SUMSTATS/covmat_36.ld	24723732	4fb40108
37	11	127725711	128925461	2555	GJOKA_SUMSTATS/sumstats_37.assoc.logistic	dd8c1037	GJOKA_SUMSTATS/covmat_37.ld	71262229	3e8fedb9
38	12	5841733	7039908	1443	GJOKA_SUMSTATS/sumstats_38.assoc.logistic	6d5941c9	GJOKA_SUMSTATS/covmat_38.ld	22539817	626ba24a
39	12	111310563	112506856	1366	GJOKA_SUMSTATS/sumstats_39.assoc.logistic	f0a7d06d	GJOKA_SUMSTATS/covmat_39.ld	18593770	5974bdb7
40	13	42456014	43654658	3500	GJOKA_SUMSTATS/sumstats_40.assoc.logistic	9bc6e7ae	GJOKA_SUMSTATS/covmat_40.ld	131788508	c2cf3f2a
41	13	50211276	51410867	3546	GJOKA_SUMSTATS/sumstats_41.assoc.logistic	ab09a40f	GJOKA_SUMSTATS/covmat_41.ld	135112018	7b3342dd
42	14	34828738	36009484	3225	GJOKA_SUMSTATS/sumstats_42.assoc.logistic	47af3028	GJOKA_SUMSTATS/covmat_42.ld	108442021	fe7a34b1
43	14	68149934	69349061	2562	GJOKA_SUMSTATS/sumstats_43.assoc.logistic	990a0b2b	GJOKA_SUMSTATS/covmat_43.ld	69659656	4c125c2a
44	14	92515799	93710865	2854	GJOKA_SUMSTATS/sumstats_44.assoc.logistic	67004b23	GJOKA_SUMSTATS/covmat_44.ld	88925328	4de2fb3a
45	14	102965346	104164673	2152	GJOKA_SUMSTATS/sumstats_45.assoc.logistic	37dccbbd	GJOKA_SUMSTATS/covmat_45.ld	49632350	a5429045
46	16	10574796	11774201	2203	GJOKA_SUMSTATS/sumstats_46.assoc.logistic	385148ee	GJOKA_SUMSTATS/covmat_46.ld	52282845	67176591
47	16	26803575	28003221	1529	GJOKA_SUMSTATS/sumstats_47.assoc.logistic	eae188c7	GJOKA_SUMSTATS/covmat_47.ld	25592727	c9dd9877
48	16	67439539	68636670	1436	GJOKA_SUMSTATS/sumstats_48.assoc.logistic	e1de16e3	GJOKA_SUMSTATS/covmat_48.ld	21054160	bc703b2e
49	16	85419790	86618734	2176	GJOKA_SUMSTATS/sumstats_49.assoc.logistic	5811a319	GJOKA_SUMSTATS/covmat_49.ld	52011926	e8f505f7
50	17	37447607	38643842	1438	GJOKA_SUMSTATS/sumstats_50.assoc.logistic	f35ef21f	GJOKA_SUMSTATS/covmat_50.ld	21235846	fbe5cd59
51	17	43549463	44744575	2669	GJOKA_SUMSTATS/sumstats_51.assoc.logistic	9ae0c84c	GJOKA_SUMSTATS/covmat_51.ld	61234387	7efc376f
52	18	66926178	68123650	2417	GJOKA_SUMSTATS/sumstats_52.assoc.logistic	acd448a3	GJOKA_SUMSTATS/covmat_52.ld	62901919	6d82da95
53	19	9876493	11075605	1385	GJOKA_SUMSTATS/sumstats_53.assoc.logistic	0ca102c5	GJOKA_SUMSTATS/covmat_53.ld	20574211	5f8f652e
54	19	17650229	18835148	1194	GJOKA_SUMSTATS/sumstats_54.assoc.logistic	eb607156	GJOKA_SUMSTATS/covmat_54.ld	15411070	4907c885
55	19	50326780	51523928	1434	GJOKA_SUMSTATS/sumstats_55.assoc.logistic	efa53436	GJOKA_SUMSTATS/covmat_55.ld	22556116	54457bdb
56	22	39156486	40339926	1144	GJOKA_SUMSTATS/sumstats_56.assoc.logistic	1f1d2ba5	GJOKA_SUMSTATS/covmat_56.ld	13826408	df4db046
